item_id,key,value
1,color,"Silver"
1,platform,"iOS"
1,camera,"Sure"
1,price_category,"Luxury ($400-1000+)"
1,sim_count,"Only one"
1,cpu_category,"I love playing games!"
2,color,"Grey"
2,platform,"iOS"
2,camera,"Sure"
2,price_category,"Contemporary ($200-400)"
2,sim_count,"Only one"
2,cpu_category,"I love playing games!"
3,color,"Grey"
3,platform,"Android"
3,camera,"Sure"
3,price_category,"Mass Market (<$200)"
3,sim_count,"Only one"
3,cpu_category,"I love playing games!"
4,color,"Gold"
4,platform,"Android"
4,camera,"Not so much"
4,price_category,"Mass Market (<$200)"
4,sim_count,"Two"
4,cpu_category,"I play games some times"
5,color,"Grey"
5,platform,"Windows"
5,camera,"Not at all"
5,price_category,"Mass Market (<$200)"
5,sim_count,"Three or more"
5,cpu_category,"I don't play games on my phone"
6,color,"Grey"
6,platform,"Windows"
6,camera,"Not so much"
6,price_category,"Mass Market (<$200)"
6,sim_count,"Two"
6,cpu_category,"I play games some times"
